rank,finalWorth,category,personName,age,country,source,industries,selfMade,gender,gross_tertiary_education_enrollment,life_expectancy_country,gdp_country,population_country
1,211000,Fashion & Retail,Bernard Arnault & family,74.0,France,LVMH,Fashion,False,M,65.6,82.5,"$2,715,518,274,227 ",67059887.0
2,180000,Automotive,Elon Musk,51.0,United States,"Tesla, SpaceX",Automotive,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
3,114000,Technology,Jeff Bezos,59.0,United States,Amazon,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
4,107000,Technology,Larry Ellison,78.0,United States,Oracle,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
5,106000,Finance & Investments,Warren Buffett,92.0,United States,Berkshire Hathaway,Finance,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
6,104000,Technology,Bill Gates,67.0,United States,Microsoft,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
7,94500,Media & Entertainment,Michael Bloomberg,81.0,United States,Bloomberg LP,Entertainment,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico,Telecom,Telecom,True,M,40.2,75.0,"$1,258,286,717,125 ",126014024.0
9,83400,Diversified,Mukesh Ambani,65.0,India,Diversified,Diversified,False,M,28.1,69.4,"$2,611,000,000,000 ",1366417754.0
10,80700,Technology,Steve Ballmer,67.0,United States,Microsoft,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,L'Oréal,Fashion,False,F,65.6,82.5,"$2,715,518,274,227 ",67059887.0
12,79200,Technology,Larry Page,50.0,United States,Google,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
13,77300,Fashion & Retail,Amancio Ortega,87.0,Spain,Zara,Fashion,True,M,88.9,83.3,"$1,394,116,310,769 ",47076781.0
14,76000,Technology,Sergey Brin,49.0,United States,Google,Technology,True,M,88.2,78.5,"$21,427,700,000,000 ",328239523.0
15,68000,Food & Beverage,Zhong Shanshan,68.0,China,"Beverages, pharmaceuticals",Food,True,M,50.6,77.0,"$19,910,000,000,000 ",1397715000.0
